ticker,quarter,Equity,Net Income,Net Interest Income,Total Assets,Total Loans,ROE,ROA,NIM,NPL,Equity_YoY_Growth,Net Income_YoY_Growth,Net Interest Income_YoY_Growth,Total Assets_YoY_Growth,Total Loans_YoY_Growth,ROE_YoY_Growth,ROA_YoY_Growth,NIM_YoY_Growth
TCB,2013-Q1,13.6749358,0.397391,1.290026,175.86290323,66.98852659,0.029059807359388113,0.0022596635942048414,0.007335407162662703,,,,,,,,,
TCB,2013-Q2,13.783201,0.094818,0.920543,171.394441,68.592952,0.006879243798302005,0.0005532151419076654,0.005370903482219707,,,,,,,,,
TCB,2013-Q3,13.847834,0.053488,1.018211,165.878786,68.405752,0.0038625535228108596,0.00032245232371064014,0.0061382834089465784,,,,,,,,,
TCB,2013-Q4,13.920069,0.09624,1.106882,158.896663,69.08868,0.006913758832660959,0.0006056766591756557,0.006966049375121238,,,,,,,,,
TCB,2014-Q1,14.448747,0.525173,1.293783,164.134583,70.582712,0.03634730402574009,0.003199648668800042,0.007882452170363147,,0.05658609380820634,0.3215523250400738,0.002912344402360878,-0.06669013199822638,0.0536537462899882,0.25077580784435805,0.4159845195567591,0.07457595680372164
TCB,2014-Q2,14.660821,0.214872,1.28387,171.081078,72.900054,0.014656205133396008,0.0012559658993965424,0.007504453531675784,,0.06367316271452483,1.2661519964563692,0.39468770062886804,-0.0018283148401528893,0.06279219474327324,1.1304965433865828,1.270302824802597,0.39724229946026046
TCB,2014-Q3,14.822261,0.161895,1.604103,170.768267,70.53293,0.010922422699208982,0.0009480391342262671,0.009393448959694602,,0.07036674471978777,2.0267536643733175,0.575413151105223,0.029476228503384494,0.031096478553440665,1.8277725175081874,1.9400908739519935,0.5303055160345975
TCB,2014-Q4,14.99971,0.179918,1.590874,175.915454,79.34779,0.01199476523212782,0.0010227526684494699,0.009043401041957347,,0.07756003220961039,0.8694721529509557,0.43725708792807194,0.10710603154705667,0.1484919092389667,0.734912299148174,0.6886116592993154,0.2982108731895048
TCB,2015-Q1,15.29432,0.313596,1.861665,179.100004,87.612696,0.020504082561369187,0.001750954734763713,0.010394555881751961,,0.058522237256974696,-0.40287105391937517,0.4389314127639643,0.09117774405897161,0.24127698578654777,-0.43588436306448475,-0.4527665640801838,0.31869571258978935
TCB,2015-Q2,15.755036,0.490692,1.724467,172.744073,89.876695,0.03114508910039939,0.002840572133551581,0.009982785342800156,,0.07463531544379398,1.2836479392382443,0.3431788265167033,0.009720508073955303,0.23287556138161425,1.1250445676030685,1.2616634216871643,0.3302481387436811
TCB,2015-Q3,16.160598,0.404155,1.560188,175.216913,92.796373,0.025008666139705968,0.0023065981079121054,0.008904323066118621,,0.09029236497724602,1.4964019889434508,-0.02737667094943419,0.026050776752334137,0.3156460819081246,1.2896629098155241,1.4330199299152486,-0.0520709587793281
TCB,2015-Q4,16.52806,0.375766,2.061561,192.009075,110.461365,0.022735033633711398,0.0019570220834614197,0.010736789393938804,,0.10189196991141825,1.088540335041519,0.2958669259790532,0.09148497550419865,0.3921164660036529,0.8954129733874165,0.9134851893648306,0.18725127240569006
TCB,2016-Q1,16.956559,0.475742,2.021726,199.003292,112.73581,0.028056517834780043,0.0023906237691786528,0.010159259073965471,,0.10868341972706186,0.5170537889513898,0.08597733749090208,0.11112946708811888,0.28675197941631647,0.36833812245957587,0.3653258543552591,-0.022636542673224014
TCB,2016-Q2,17.735597,0.792156,2.193431,212.676296,126.309255,0.044664749655734734,0.0037247028225468057,0.010313471887812075,,0.12570970958111416,0.6143650191973782,0.2719472161543248,0.23116407009808104,0.4053615901207759,0.4340864305044474,0.3112509196834907,0.0331256792224246
